id,googleName,primaryDisplayName,googlePlaceId,nationalPhoneNumber,internationalPhoneNumber,latitude,longitude,websiteUri,googleMapsUri,businessStatus,primaryType,goodForChildren,allowDogs,acceptCreditCards,acceptDebitCards,acceptCashOnly,freeParkingLot,paidParkingLot,freeStreetParking,wheelchairAccessibleParking,wheelchairAccessibleSeating,geminiGenerativeSummary,editorialSummary,regionCode,languageCode,postalCode,administrativeArea,locality,addressLines,state,formattedAddress,shortFormattedAddress,statePark,stateForest,stateWayside,nationalForest,countyPark,naturalWildlifeArea,cityPark,regularWeekdayDescriptions,currentWeekdayDescriptions
11,places/ChIJd8U9GXJEi4cR86MInv1zcso,Pats Grove,ChIJd8U9GXJEi4cR86MInv1zcso,"","",43.87427,-95.29426,"",https://maps.google.com/?cid=14587849676121744371&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,false,false,false,false,false,"","",US,en,56137,MN,Heron Lake,[42035-42163 390th Ave],MN,"42035-42163 390th Ave, Heron Lake, MN 56137","42035-42163 390th Ave, Heron Lake",true,false,false,false,false,false,false,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']","['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']"
12,places/ChIJjUr6pchZi4cRKpEut4EOTTA,Sandy Point County Park Minnesota,ChIJjUr6pchZi4cRKpEut4EOTTA,(507) 847-2525,+1 507-847-2525,43.71766,-95.242485,https://www.co.jackson.mn.us/index.asp?SEC=27E1469C-F55C-41A6-BC59-FFE4226AF5C8,https://maps.google.com/?cid=3480454037314113834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,false,false,false,true,false,"","",US,en,56150,MN,Lakefield,[41699 850th St],MN,"41699 850th St, Lakefield, MN 56150","41699 850th St, Lakefield",true,false,false,false,false,false,false,"['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']","['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']"
13,places/ChIJCYreFNJUi4cR7Qcd4Dk4ZVQ,Prairie Bush Clover Scientific and Natural Area,ChIJCYreFNJUi4cR7Qcd4Dk4ZVQ,(507) 831-2900,+1 507-831-2900,43.72597,-95.06457,https://www.dnr.state.mn.us/snas/detail.html?id=sna01036,https://maps.google.com/?cid=6081328693058013165&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,nature_preserve,true,false,false,false,false,false,false,false,false,false,"","",US,en,56150,MN,Lakefield,[50200 860th St],MN,"50200 860th St, Lakefield, MN 56150","50200 860th St, Lakefield",true,false,false,false,false,false,false,"['Monday: 12:00 AM – 11:30 PM', 'Tuesday: 12:00 AM – 11:30 PM', 'Wednesday: 12:00 AM – 11:30 PM', 'Thursday: 12:00 AM – 11:30 PM', 'Friday: 12:00 AM – 11:30 PM', 'Saturday: 12:00 AM – 11:30 PM', 'Sunday: 12:00 AM – 11:30 PM']","['Monday: 12:00 AM – 11:30 PM', 'Tuesday: 12:00 AM – 11:30 PM', 'Wednesday: 12:00 AM – 11:30 PM', 'Thursday: 12:00 AM – 11:30 PM', 'Friday: 12:00 AM – 11:30 PM', 'Saturday: 12:00 AM – 11:30 PM', 'Sunday: 12:00 AM – 11:30 PM']"
14,places/ChIJC0TCSd1Vi4cRzbObIZivvss,Kilen Woods Campground,ChIJC0TCSd1Vi4cRzbObIZivvss,"","",43.728966,-95.06573,"",https://maps.google.com/?cid=14681364903208137677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,campground,false,true,false,false,false,false,false,false,true,false,"","",US,en,56150,MN,Lakefield,[50200 860th St],MN,"50200 860th St, Lakefield, MN 56150","50200 860th St, Lakefield",true,false,false,false,false,false,false,[],[]
15,places/ChIJlVXcxsGM9IcRifzJ3FCZtdg,Eagles Nest County Park,ChIJlVXcxsGM9IcRifzJ3FCZtdg,"","",43.989468,-94.50405,https://www.co.watonwan.mn.us/96/County-Parks,https://maps.google.com/?cid=15615555855557721225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,false,false,false,true,false,"","",US,en,56062,MN,Madelia,[],MN,"Madelia, MN 56062",Madelia,true,false,false,false,false,false,false,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']","['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']"
16,places/ChIJFXJd8ChG9IcRQF_4Oik2pLc,Minneopa State Park,ChIJFXJd8ChG9IcRQF_4Oik2pLc,(507) 386-3910,+1 507-386-3910,44.169556,-94.11223,http://www.dnr.state.mn.us/state_parks/minneopa/index.html,https://maps.google.com/?cid=13232761155832274752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,true,true,false,true,true,"Park with a herd of bison and a campground, as well as picnic areas and a waterfall.","State park offering hiking trails, panoramic views, a waterfall, picnic areas & campsites.",US,en,56001-5929,MN,Mankato,[54497 Gadwall Rd],MN,"54497 Gadwall Rd, Mankato, MN 56001","54497 Gadwall Rd, Mankato",true,false,false,false,false,false,false,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']","['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']"
17,places/ChIJQ3nu5k-O9ocRIsAuHPc5zno,Sakatah Lake State Park,ChIJQ3nu5k-O9ocRIsAuHPc5zno,(507) 698-7850,+1 507-698-7850,44.218983,-93.53185,http://www.dnr.state.mn.us/state_parks/sakatah_lake/index.html,https://maps.google.com/?cid=8849074051322134562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,false,false,false,true,false,"State park featuring camping, hiking trails, and a bike trail, plus a boat launch.","",US,en,56096,MN,Waterville,[50499 Sakatah Lake St Park Rd],MN,"50499 Sakatah Lake St Park Rd, Waterville, MN 56096","50499 Sakatah Lake St Park Rd, Waterville",true,false,false,false,false,false,false,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']"
18,places/ChIJ-fzw4gRH9IcR01_aWE_5dRc,Minneopa State Park Ranger Station,ChIJ-fzw4gRH9IcR01_aWE_5dRc,(507) 386-3910,+1 507-386-3910,44.147774,-94.0952,"https://www.dnr.state.mn.us/state_parks/park.html?id=spk00235#homepage",https://maps.google.com/?cid=1690531354335928275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,false,false,false,false,false,false,false,true,false,"","",US,en,56001,MN,Mankato,[54497 Gadwall Rd],MN,"54497 Gadwall Rd, Mankato, MN 56001","54497 Gadwall Rd, Mankato",true,false,false,false,false,false,false,"['Monday: 9:00 AM – 8:30 PM', 'Tuesday: 9:00 AM – 8:30 PM', 'Wednesday: 9:00 AM – 8:30 PM', 'Thursday: 9:00 AM – 8:30 PM', 'Friday: 9:00 AM – 8:30 PM', 'Saturday: 9:00 AM – 8:30 PM', 'Sunday: 9:00 AM – 8:30 PM']","['Monday: 9:00 AM – 8:30 PM', 'Tuesday: 9:00 AM – 8:30 PM', 'Wednesday: 9:00 AM – 8:30 PM', 'Thursday: 9:00 AM – 8:30 PM', 'Friday: 9:00 AM – 8:30 PM', 'Saturday: 9:00 AM – 8:30 PM', 'Sunday: 9:00 AM – 8:30 PM']"
19,places/ChIJW5AOMAlH9IcRdB7EYbq-36I,Minneopa State Park Bison Drive,ChIJW5AOMAlH9IcRdB7EYbq-36I,"","",44.157974,-94.08949,https://www.dnr.state.mn.us/state_parks/minneopa/bison.html,https://maps.google.com/?cid=11736308861664239220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,false,false,false,false,true,true,false,true,false,"State park featuring a bison herd, picnic tables, and opportunities for hiking.","",US,en,56001,MN,Mankato,[Bison Range],MN,"Bison Range, Mankato, MN 56001","Bison Range, Mankato",true,false,false,false,false,false,false,"['Monday: 9:00 AM – 8:30 PM', 'Tuesday: 9:00 AM – 8:30 PM', 'Wednesday: Closed', 'Thursday: 9:00 AM – 8:30 PM', 'Friday: 9:00 AM – 8:30 PM', 'Saturday: 9:00 AM – 8:30 PM', 'Sunday: 9:00 AM – 8:30 PM']","['Monday: 9:00 AM – 8:30 PM', 'Tuesday: 9:00 AM – 8:30 PM', 'Wednesday: Closed', 'Thursday: 9:00 AM – 8:30 PM', 'Friday: 9:00 AM – 8:30 PM', 'Saturday: 9:00 AM – 8:30 PM', 'Sunday: 9:00 AM – 8:30 PM']"
20,places/ChIJMcFos-ZH9IcRDHs4Q2D-ndU,Minnemishinona Falls,ChIJMcFos-ZH9IcRDHs4Q2D-ndU,(507) 931-1760,+1 507-931-1760,44.1701,-94.08529,https://www.co.nicollet.mn.us/349/Parks-Trails,https://maps.google.com/?cid=15392738790820313868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,true,false,false,true,false,"","",US,en,56003,MN,Mankato,[40923 Judson Bottom Rd],MN,"40923 Judson Bottom Rd, Mankato, MN 56003","40923 Judson Bottom Rd, Mankato",true,false,false,false,false,false,false,[],[]
21,places/ChIJJbp-eL1H9IcR1App1tIX9wQ,Minneopa Falls,ChIJJbp-eL1H9IcR1App1tIX9wQ,"","",44.148777,-94.090485,"",https://maps.google.com/?cid=357780889707023060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"",natural_feature,false,false,false,false,false,false,false,false,false,false,"","","","","","","",[],"","Minneopa Falls, South Bend Township, MN 56001",South Bend Township,true,false,false,false,false,false,false,[],[]
22,places/ChIJueDeLUaD9ocRTKs8wWMHglI,Sakatah State Trail,ChIJueDeLUaD9ocRTKs8wWMHglI,(507) 267-4772,+1 507-267-4772,44.198605,-93.67944,https://www.dnr.state.mn.us/state_trails/sakatah/index.html,https://maps.google.com/?cid=5945322583107611468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,false,false,false,true,false,"","",US,en,56028-2009,MN,Elysian,[101 4th St NW],MN,"101 4th St NW, Elysian, MN 56028","101 4th St NW, Elysian",true,false,false,false,false,false,false,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']","['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']"
23,places/ChIJT_8_L9g59IcRfFlRtP9COcU,Red Jacket Valley Lake,ChIJT_8_L9g59IcRfFlRtP9COcU,(507) 304-4025,+1 507-304-4025,44.12239,-94.05263,https://www.blueearthcountymn.gov/Facilities/Facility/Details/Red-Jacket-Valley-Park-48,https://maps.google.com/?cid=14211463765153634684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,sports_activity_location,false,false,false,false,false,false,false,false,false,false,"","",US,en,56001,MN,Mankato,[],MN,"Mankato, MN 56001",Mankato,true,false,false,false,false,false,false,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
